"Area","Item","Year","Area_harvested","Yield","temperature","precipitation","humidity","Soil_PH","Soil_Nitrogen","Soil_OM","VHI","ASI"
"Thailand","Asparagus",1975,0.0,0.0,26.21,1726.68,77.2,4.65,0.76,2.84,0.47,11.07
"Thailand","Asparagus",1976,0.0,0.0,26.11,1598.93,74.1,4.94,3.84,3.77,0.47,19.24
"Thailand","Asparagus",1977,0.0,0.0,26.36,1378.06,71.8,4.26,2.7,3.08,0.58,21.21
"Thailand","Asparagus",1978,0.0,0.0,26.67,1623.1,74.4,5.93,3.04,3.76,0.37,18.59
"Thailand","Asparagus",1979,0.0,0.0,27.05,1294.04,73.2,5.35,2.48,3.98,0.4,10.98
"Thailand","Asparagus",1980,0.0,0.0,26.74,1669.85,73.0,4.7,2.91,2.89,0.38,22.0
"Thailand","Asparagus",1981,0.0,0.0,25.97,1553.21,74.4,4.56,1.47,2.72,0.4,9.56
"Thailand","Asparagus",1982,0.0,0.0,26.06,1504.89,75.2,4.83,1.72,3.97,0.55,13.46
"Thailand","Asparagus",1983,0.0,0.0,26.4,1632.68,74.9,5.31,2.5,2.66,0.56,16.26
"Thailand","Asparagus",1984,0.0,0.0,26.11,1504.35,73.0,5.5,1.19,3.52,0.55,1.77
"Thailand","Asparagus",1985,0.0,0.0,26.19,1539.99,73.0,4.5,3.36,3.75,0.49,7.86
"Thailand","Asparagus",1986,0.0,0.0,26.14,1497.08,71.7,4.28,4.11,2.99,0.43,20.81
"Thailand","Asparagus",1987,0.0,0.0,26.97,1494.28,70.9,5.8,0.77,2.64,0.43,21.68
"Thailand","Asparagus",1988,1000.0,55000.0,26.73,1744.1,72.4,5.33,1.41,1.55,0.53,1.42
"Thailand","Asparagus",1989,1500.0,73333.0,26.73,1419.78,71.4,4.36,3.62,2.93,0.44,14.05
"Thailand","Asparagus",1990,2000.0,69000.0,27.04,1529.3,70.5,5.43,2.14,3.27,0.46,10.45
"Thailand","Asparagus",1991,2500.0,44000.0,27.11,1425.79,71.65,4.76,0.4,1.79,0.36,42.0
"Thailand","Asparagus",1992,3000.0,55000.0,26.72,1370.1,70.9,5.82,1.31,2.79,0.43,17.14
"Thailand","Asparagus",1993,3500.0,65714.0,26.74,1330.24,71.9,6.1,3.75,1.91,0.47,4.14
"Thailand","Asparagus",1994,4000.0,65000.0,26.81,1653.44,72.6,4.76,3.68,1.56,0.52,2.46
"Thailand","Asparagus",1995,4500.0,65556.0,26.7,1669.6,79.0,5.52,2.18,3.77,0.51,3.14
"Thailand","Asparagus",1996,5000.0,70000.0,26.32,1754.71,69.8,4.37,1.77,3.72,0.54,1.09
"Thailand","Asparagus",1997,5500.0,70000.0,26.86,1390.14,67.4,4.85,2.3,2.09,0.5,2.07
"Thailand","Asparagus",1998,6000.0,80000.0,27.5,1520.52,73.2,4.96,1.73,1.96,0.54,3.08
"Thailand","Asparagus",1999,6500.0,80000.0,26.3,1771.63,72.7,5.88,2.93,2.56,0.62,0.28
"Thailand","Asparagus",2000,7945.0,90701.0,26.53,1760.17,70.9,5.45,4.44,3.82,0.52,0.98
"Thailand","Asparagus",2001,13297.0,58026.0,26.71,1593.13,71.6,5.39,4.2,3.92,0.55,0.41
"Thailand","Asparagus",2002,16876.0,39793.0,26.8,1645.98,72.67,4.62,0.39,3.69,0.51,1.95
"Thailand","Asparagus",2003,17204.0,45608.0,26.71,1539.52,69.7,4.61,4.56,3.65,0.48,5.69
"Thailand","Asparagus",2004,20046.0,48977.0,26.64,1438.8,68.2,5.25,3.92,2.03,0.41,25.72
"Thailand","Asparagus",2005,20658.0,42184.0,26.85,1581.45,71.77,4.95,0.97,3.4,0.46,6.96
"Thailand","Asparagus",2006,18606.0,42297.0,26.74,1714.52,69.4,5.12,1.94,3.31,0.46,9.52
"Thailand","Asparagus",2007,21164.0,37292.0,26.64,1662.52,69.7,5.27,0.53,3.31,0.46,9.38
"Thailand","Asparagus",2008,17783.0,37711.0,26.29,1712.79,71.0,4.8,2.76,1.96,0.59,0.14
"Thailand","Asparagus",2009,17146.0,37807.0,26.68,1638.83,71.3,4.76,2.34,2.56,0.53,0.46
"Thailand","Asparagus",2010,16657.0,37887.0,27.32,1637.71,73.3,5.9,3.53,2.06,0.55,1.52
"Thailand","Asparagus",2011,2280.0,104531.0,26.27,1990.16,73.1,5.79,2.24,2.18,0.6,0.4
"Thailand","Asparagus",2012,2552.0,90481.0,27.16,1538.85,74.6,5.66,4.15,3.91,0.54,0.9
"Thailand","Asparagus",2013,1918.0,92935.0,26.8,1760.87,73.0,5.41,1.5,3.6,0.54,1.86
"Thailand","Asparagus",2014,1790.0,83693.0,26.9,1472.06,71.9,5.2,1.29,2.8,0.53,1.55
"Thailand","Asparagus",2015,1408.0,168239.0,27.3,1420.21,72.7,4.69,2.13,2.01,0.48,8.81
"Thailand","Asparagus",2016,1821.0,133014.0,27.41,1600.27,68.73,5.5,2.54,2.07,0.5,8.16
"Thailand","Asparagus",2017,1800.0,138889.0,26.93,1985.24,73.2,5.85,2.5,2.11,0.58,0.64
"Thailand","Asparagus",2018,1730.0,140079.0,26.92,1573.64,73.2,5.75,1.75,3.67,0.56,1.38
"Thailand","Asparagus",2019,1784.0,137274.0,27.49,1308.5,71.9,4.62,0.61,3.24,0.5,7.06
"Thailand","Asparagus",2020,1771.0,138734.0,27.42,1541.5,72.0,4.25,1.72,1.74,0.55,5.35
"Thailand","Asparagus",2021,1762.0,138682.0,26.9,1631.11,71.5,5.1,1.57,1.65,0.58,1.39
"Thailand","Asparagus",2022,1772.0,138227.0,26.78,2066.47,73.0,5.15,0.33,2.34,0.59,1.4
"Thailand","Bananas",1961,70000.0,92286.0,26.23,1740.1,78.5,4.33,0.92,3.69,0.36,19.17
"Thailand","Bananas",1962,70000.0,94714.0,26.08,1586.14,76.3,5.95,4.05,2.66,0.55,3.96
"Thailand","Bananas",1963,80000.0,99500.0,26.07,1664.81,77.3,4.72,1.49,3.91,0.4,8.93
"Thailand","Bananas",1964,80000.0,92875.0,26.14,1689.46,73.19,4.89,3.02,3.65,0.43,7.68
"Thailand","Bananas",1965,120000.0,97750.0,26.28,1600.65,73.5,4.5,2.43,2.92,0.41,18.26
"Thailand","Bananas",1966,125000.0,101920.0,26.75,1762.56,76.6,4.62,4.74,3.13,0.57,9.75
"Thailand","Bananas",1967,125000.0,96000.0,26.12,1455.12,74.5,4.28,2.69,1.76,0.43,6.81
"Thailand","Bananas",1968,125000.0,96000.0,26.43,1472.85,77.2,4.21,2.59,2.37,0.37,9.35
"Thailand","Bananas",1969,125000.0,96000.0,26.56,1639.69,74.5,4.43,2.82,3.45,0.38,15.97
"Thailand","Bananas",1970,125000.0,96000.0,26.33,1867.78,77.5,4.37,1.64,3.76,0.44,10.21
"Thailand","Bananas",1971,125000.0,96000.0,25.72,1642.87,74.81,5.18,1.49,1.89,0.57,12.86
"Thailand","Bananas",1972,125000.0,96000.0,26.46,1555.46,75.0,4.2,1.14,3.12,0.42,8.03
"Thailand","Bananas",1973,125000.0,100000.0,26.47,1589.83,75.8,4.91,4.16,3.9,0.55,6.29
"Thailand","Bananas",1974,125000.0,104000.0,25.99,1681.47,77.2,5.49,1.87,2.5,0.38,17.35
"Thailand","Bananas",1975,125000.0,104000.0,26.21,1726.68,77.2,4.65,0.76,2.84,0.47,11.07
"Thailand","Bananas",1976,125000.0,112000.0,26.11,1598.93,74.1,4.94,3.84,3.77,0.47,19.24
"Thailand","Bananas",1977,125000.0,120000.0,26.36,1378.06,71.8,4.26,2.7,3.08,0.58,21.21
"Thailand","Bananas",1978,125000.0,116000.0,26.67,1623.1,74.4,5.93,3.04,3.76,0.37,18.59
"Thailand","Bananas",1979,125000.0,120000.0,27.05,1294.04,73.2,5.35,2.48,3.98,0.4,10.98
"Thailand","Bananas",1980,130000.0,119231.0,26.74,1669.85,73.0,4.7,2.91,2.89,0.38,22.0
"Thailand","Bananas",1981,130000.0,123077.0,25.97,1553.21,74.4,4.56,1.47,2.72,0.4,9.56
"Thailand","Bananas",1982,130000.0,119231.0,26.06,1504.89,75.2,4.83,1.72,3.97,0.55,13.46
"Thailand","Bananas",1983,130000.0,117692.0,26.4,1632.68,74.9,5.31,2.5,2.66,0.56,16.26
"Thailand","Bananas",1984,130000.0,118846.0,26.11,1504.35,73.0,5.5,1.19,3.52,0.55,1.77
"Thailand","Bananas",1985,130000.0,121538.0,26.19,1539.99,73.0,4.5,3.36,3.75,0.49,7.86
"Thailand","Bananas",1986,130000.0,122785.0,26.14,1497.08,71.7,4.28,4.11,2.99,0.43,20.81
"Thailand","Bananas",1987,130000.0,123400.0,26.97,1494.28,70.9,5.8,0.77,2.64,0.43,21.68
"Thailand","Bananas",1988,130000.0,123538.0,26.73,1744.1,72.4,5.33,1.41,1.55,0.53,1.42
"Thailand","Bananas",1989,132000.0,121970.0,26.73,1419.78,71.4,4.36,3.62,2.93,0.44,14.05
"Thailand","Bananas",1990,126546.0,127464.0,27.04,1529.3,70.5,5.43,2.14,3.27,0.46,10.45
"Thailand","Bananas",1991,137255.0,118029.0,27.11,1425.79,71.65,4.76,0.4,1.79,0.36,42.0
"Thailand","Bananas",1992,139548.0,116806.0,26.72,1370.1,70.9,5.82,1.31,2.79,0.43,17.14
"Thailand","Bananas",1993,138737.0,118930.0,26.74,1330.24,71.9,6.1,3.75,1.91,0.47,4.14
"Thailand","Bananas",1994,133000.0,127820.0,26.81,1653.44,72.6,4.76,3.68,1.56,0.52,2.46
"Thailand","Bananas",1995,135000.0,129630.0,26.7,1669.6,79.0,5.52,2.18,3.77,0.51,3.14
"Thailand","Bananas",1996,141120.0,123080.0,26.32,1754.71,69.8,4.37,1.77,3.72,0.54,1.09
"Thailand","Bananas",1997,130000.0,130769.0,26.86,1390.14,67.4,4.85,2.3,2.09,0.5,2.07
"Thailand","Bananas",1998,134000.0,128358.0,27.5,1520.52,73.2,4.96,1.73,1.96,0.54,3.08
"Thailand","Bananas",1999,148000.0,128378.0,26.3,1771.63,72.7,5.88,2.93,2.56,0.62,0.28
"Thailand","Bananas",2000,156269.0,129885.0,26.53,1760.17,70.9,5.45,4.44,3.82,0.52,0.98
"Thailand","Bananas",2001,151211.0,133663.0,26.71,1593.13,71.6,5.39,4.2,3.92,0.55,0.41
"Thailand","Bananas",2002,139000.0,148238.0,26.8,1645.98,72.67,4.62,0.39,3.69,0.51,1.95
"Thailand","Bananas",2003,148360.0,132483.0,26.71,1539.52,69.7,4.61,4.56,3.65,0.48,5.69
"Thailand","Bananas",2004,124378.0,112751.0,26.64,1438.8,68.2,5.25,3.92,2.03,0.41,25.72
"Thailand","Bananas",2005,118595.0,136892.0,26.85,1581.45,71.77,4.95,0.97,3.4,0.46,6.96
"Thailand","Bananas",2006,126505.0,132524.0,26.74,1714.52,69.4,5.12,1.94,3.31,0.46,9.52
"Thailand","Bananas",2007,132021.0,146135.0,26.64,1662.52,69.7,5.27,0.53,3.31,0.46,9.38
"Thailand","Bananas",2008,132491.0,116270.0,26.29,1712.79,71.0,4.8,2.76,1.96,0.59,0.14
"Thailand","Bananas",2009,133162.0,114754.0,26.68,1638.83,71.3,4.76,2.34,2.56,0.53,0.46
"Thailand","Bananas",2010,133527.0,118695.0,27.32,1637.71,73.3,5.9,3.53,2.06,0.55,1.52
"Thailand","Bananas",2011,86729.0,158925.0,26.27,1990.16,73.1,5.79,2.24,2.18,0.6,0.4
"Thailand","Bananas",2012,80439.0,126861.0,27.16,1538.85,74.6,5.66,4.15,3.91,0.54,0.9
"Thailand","Bananas",2013,40071.0,257381.0,26.8,1760.87,73.0,5.41,1.5,3.6,0.54,1.86
"Thailand","Bananas",2014,36821.0,379730.0,26.9,1472.06,71.9,5.2,1.29,2.8,0.53,1.55
"Thailand","Bananas",2015,38061.0,271286.0,27.3,1420.21,72.7,4.69,2.13,2.01,0.48,8.81
"Thailand","Bananas",2016,49440.0,226168.0,27.41,1600.27,68.73,5.5,2.54,2.07,0.5,8.16
"Thailand","Bananas",2017,55250.0,201680.0,26.93,1985.24,73.2,5.85,2.5,2.11,0.58,0.64
"Thailand","Bananas",2018,59720.0,211892.0,26.92,1573.64,73.2,5.75,1.75,3.67,0.56,1.38
"Thailand","Bananas",2019,60830.0,213314.0,27.49,1308.5,71.9,4.62,0.61,3.24,0.5,7.06
"Thailand","Bananas",2020,62650.0,217186.0,27.42,1541.5,72.0,4.25,1.72,1.74,0.55,5.35
"Thailand","Bananas",2021,60604.0,221689.0,26.9,1631.11,71.5,5.1,1.57,1.65,0.58,1.39
"Thailand","Bananas",2022,58389.0,220644.0,26.78,2066.47,73.0,5.15,0.33,2.34,0.59,1.4
"Thailand","Barley",1961,0.0,0.0,26.23,1740.1,78.5,4.33,0.92,3.69,0.36,19.17
"Thailand","Barley",1962,0.0,0.0,26.08,1586.14,76.3,5.95,4.05,2.66,0.55,3.96
"Thailand","Barley",1963,0.0,0.0,26.07,1664.81,77.3,4.72,1.49,3.91,0.4,8.93
"Thailand","Barley",1964,0.0,0.0,26.14,1689.46,73.19,4.89,3.02,3.65,0.43,7.68
"Thailand","Barley",1965,0.0,0.0,26.28,1600.65,73.5,4.5,2.43,2.92,0.41,18.26
"Thailand","Barley",1966,0.0,0.0,26.75,1762.56,76.6,4.62,4.74,3.13,0.57,9.75
"Thailand","Barley",1967,0.0,0.0,26.12,1455.12,74.5,4.28,2.69,1.76,0.43,6.81
"Thailand","Barley",1968,0.0,0.0,26.43,1472.85,77.2,4.21,2.59,2.37,0.37,9.35
"Thailand","Barley",1969,0.0,0.0,26.56,1639.69,74.5,4.43,2.82,3.45,0.38,15.97
"Thailand","Barley",1970,0.0,0.0,26.33,1867.78,77.5,4.37,1.64,3.76,0.44,10.21
"Thailand","Barley",1971,0.0,0.0,25.72,1642.87,74.81,5.18,1.49,1.89,0.57,12.86
"Thailand","Barley",1972,0.0,0.0,26.46,1555.46,75.0,4.2,1.14,3.12,0.42,8.03
"Thailand","Barley",1973,0.0,0.0,26.47,1589.83,75.8,4.91,4.16,3.9,0.55,6.29
"Thailand","Barley",1974,0.0,0.0,25.99,1681.47,77.2,5.49,1.87,2.5,0.38,17.35
"Thailand","Barley",1975,0.0,0.0,26.21,1726.68,77.2,4.65,0.76,2.84,0.47,11.07
"Thailand","Barley",1976,0.0,0.0,26.11,1598.93,74.1,4.94,3.84,3.77,0.47,19.24
"Thailand","Barley",1977,0.0,0.0,26.36,1378.06,71.8,4.26,2.7,3.08,0.58,21.21
"Thailand","Barley",1978,0.0,0.0,26.67,1623.1,74.4,5.93,3.04,3.76,0.37,18.59
"Thailand","Barley",1979,0.0,0.0,27.05,1294.04,73.2,5.35,2.48,3.98,0.4,10.98
"Thailand","Barley",1980,0.0,0.0,26.74,1669.85,73.0,4.7,2.91,2.89,0.38,22.0
"Thailand","Barley",1981,0.0,0.0,25.97,1553.21,74.4,4.56,1.47,2.72,0.4,9.56
"Thailand","Barley",1982,0.0,0.0,26.06,1504.89,75.2,4.83,1.72,3.97,0.55,13.46
"Thailand","Barley",1983,0.0,0.0,26.4,1632.68,74.9,5.31,2.5,2.66,0.56,16.26
"Thailand","Barley",1984,0.0,0.0,26.11,1504.35,73.0,5.5,1.19,3.52,0.55,1.77
"Thailand","Barley",1985,0.0,0.0,26.19,1539.99,73.0,4.5,3.36,3.75,0.49,7.86
"Thailand","Barley",1986,0.0,0.0,26.14,1497.08,71.7,4.28,4.11,2.99,0.43,20.81
"Thailand","Barley",1987,0.0,0.0,26.97,1494.28,70.9,5.8,0.77,2.64,0.43,21.68
"Thailand","Barley",1988,0.0,0.0,26.73,1744.1,72.4,5.33,1.41,1.55,0.53,1.42
"Thailand","Barley",1989,580.0,10138.0,26.73,1419.78,71.4,4.36,3.62,2.93,0.44,14.05
"Thailand","Barley",1990,803.0,11831.0,27.04,1529.3,70.5,5.43,2.14,3.27,0.46,10.45
"Thailand","Barley",1991,1951.0,7181.0,27.11,1425.79,71.65,4.76,0.4,1.79,0.36,42.0
"Thailand","Barley",1992,2895.0,6674.0,26.72,1370.1,70.9,5.82,1.31,2.79,0.43,17.14
"Thailand","Barley",1993,6000.0,10000.0,26.74,1330.24,71.9,6.1,3.75,1.91,0.47,4.14
"Thailand","Barley",1994,7700.0,12987.0,26.81,1653.44,72.6,4.76,3.68,1.56,0.52,2.46
"Thailand","Barley",1995,10000.0,16000.0,26.7,1669.6,79.0,5.52,2.18,3.77,0.51,3.14
"Thailand","Barley",1996,11715.0,18392.0,26.32,1754.71,69.8,4.37,1.77,3.72,0.54,1.09
"Thailand","Barley",1997,7757.0,18025.0,26.86,1390.14,67.4,4.85,2.3,2.09,0.5,2.07
"Thailand","Barley",1998,8439.0,18438.0,27.5,1520.52,73.2,4.96,1.73,1.96,0.54,3.08
"Thailand","Barley",1999,8792.0,19838.0,26.3,1771.63,72.7,5.88,2.93,2.56,0.62,0.28
"Thailand","Barley",2000,6132.0,18690.0,26.53,1760.17,70.9,5.45,4.44,3.82,0.52,0.98
"Thailand","Barley",2001,6913.0,18995.0,26.71,1593.13,71.6,5.39,4.2,3.92,0.55,0.41
"Thailand","Barley",2002,7000.0,19421.0,26.8,1645.98,72.67,4.62,0.39,3.69,0.51,1.95
"Thailand","Barley",2003,11500.0,19881.0,26.71,1539.52,69.7,4.61,4.56,3.65,0.48,5.69
"Thailand","Barley",2004,12000.0,20808.0,26.64,1438.8,68.2,5.25,3.92,2.03,0.41,25.72
"Thailand","Barley",2005,14000.0,20317.0,26.85,1581.45,71.77,4.95,0.97,3.4,0.46,6.96
"Thailand","Barley",2006,17785.0,20539.0,26.74,1714.52,69.4,5.12,1.94,3.31,0.46,9.52
"Thailand","Barley",2007,21885.0,20761.0,26.64,1662.52,69.7,5.27,0.53,3.31,0.46,9.38
"Thailand","Barley",2008,25568.0,20983.0,26.29,1712.79,71.0,4.8,2.76,1.96,0.59,0.14
"Thailand","Barley",2009,29217.0,21205.0,26.68,1638.83,71.3,4.76,2.34,2.56,0.53,0.46
"Thailand","Barley",2010,32670.0,21427.0,27.32,1637.71,73.3,5.9,3.53,2.06,0.55,1.52
"Thailand","Barley",2011,36954.0,21649.0,26.27,1990.16,73.1,5.79,2.24,2.18,0.6,0.4
"Thailand","Barley",2012,40466.0,21870.0,27.16,1538.85,74.6,5.66,4.15,3.91,0.54,0.9
"Thailand","Barley",2013,43001.0,22092.0,26.8,1760.87,73.0,5.41,1.5,3.6,0.54,1.86
"Thailand","Barley",2014,53808.0,22301.0,26.9,1472.06,71.9,5.2,1.29,2.8,0.53,1.55
"Thailand","Barley",2015,53051.0,22620.0,27.3,1420.21,72.7,4.69,2.13,2.01,0.48,8.81
"Thailand","Barley",2016,52380.0,22910.0,27.41,1600.27,68.73,5.5,2.54,2.07,0.5,8.16
"Thailand","Barley",2017,60430.0,23167.0,26.93,1985.24,73.2,5.85,2.5,2.11,0.58,0.64
